mural,polar
GPRC5A,CCR7
TMEM171,CGA
HIP1,CSF3R
GLRX,CYP19A1
CITED4,DLX5
AHNAK,ERVFRD-1
KLF5,GCM1
RGCC,GREM2
ABCC4,KRT23
PLCE1,LOC100506655
LRP2,MLLT11
GALNT10,MRGPRX1
SMOX,MUC15
SLC15A2,MYO10
NIM1K,NRP1
PRODH,OVOL1
TCF7L1,PGF
CD53,PTPRE
TUBB4A,S1PR2
FGFR3,SDC1
UGCG,SERPINB9
PTGES,SLCO4A1
ATP6V1B1,SMPDL3B
FASN,ST8SIA4
FEZ2,TFEB
SRD5A3,GPR32
ATP11B,ANXA1
TMPRSS2,SP6
GJC1,TMEM154
OSBPL1A,TGFBR2
SLC34A2,LGALS3
LAMA5,TIMP4
POMC,PID1
DNAJC6,KIAA1217
STXBP6,LCP1
C1orf168,C5orf30
SYT2,CLMP
PRPF19,NOS2
GALNT14,PHLDB3
ACSL3,PGC
MYADM,BHLHE40
LOC728637,TNFAIP3
MYCT1,FHDC1
SLC25A29,GRHL3
WNT7A,RHOBTB1
TMEM56,DUSP5
SMIM1,TRPV2
HSBP1L1,PRKCH
ACSL6,APOA2
SEMA6D,GNA12
PIP5K1B,HSPB8
DUSP1,CLEC1A
B3GNT2,PDLIM2
OSBPL6,GAST
WIPF3,FST
CCL28,ELMO1
COMTD1,IL1R1
ATP8B1,TINAGL1
TP53I13,MDFI
LAYN,C10orf54
MYLPF,GPR56
HIST1H2AH,CDKN1C
MAFA,FYB
C11orf88,PAK3
AGPAT9,NET1
STARD10,ITGA1
HOOK1,CPM
ATP6V0E2,MARC2
RNF39,LINC00643
ERGIC1,APOA1
MGST1,MSRB1
NOVA1,SLC13A4
HSPB11,RGS16
WLS,GPR78
SLCO4C1,PLK2
HS3ST5,GNAI1
CLDN3,LGALS16
TMOD1,DHX58
INPP5D,NAV1
SNTB1,TRABD2A
PDCD4,TNFAIP2
LPCAT3,LOC284379
IRX3,GLDN
NTN4,PLXNA2
HIST1H1E,P2RY6
FOXE1,SP7
SLC16A5,CNTNAP2
SCARNA5,AMHR2
OSBPL5,MID1
ST6GALNAC2,ADCY5
ZNF792,CRAT
SLC30A8,LOC100131303
MFSD3,HPD
CYP26A1,TMEM200A
MFAP3L,IRF8
XRCC6BP1,ASPRV1
LAIR2,SULT2B1
SLCO3A1,FAM65A
OR3A1,DNASE1L3
ACTL8,LEFTY2
